,fitness,solution,computed_on,generation
0,63,"[1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0
 1 1 0 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 0 1 0 0 1 1
 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 1 0 0 0 1]","21.06.2023, 16:08:38",0
1,63,"[1 0 0 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0
 1 0 1 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1
 1 1 0 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0
 1 0 0 1 1 1 0 0 0 1]","21.06.2023, 16:08:38",0
2,54,"[0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1
 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0
 0 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0
 0 0 1 0 1 1 0 1 1 1]","21.06.2023, 16:08:38",0
3,57,"[1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0 0
 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1
 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0
 0 0 1 1 0 0 0 0 0 1]","21.06.2023, 16:08:38",0
4,67,"[1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 1
 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 1 0 1 0 0 1 1 0
 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0 0
 1 0 0 0 1 1 0 1 1 1]","21.06.2023, 16:08:38",0
5,57,"[1 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 1 0
 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0
 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0
 0 1 1 1 1 1 1 1 0 1]","21.06.2023, 16:08:38",0
6,60,"[0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 0 0 0 1
 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 1 0 1
 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1
 1 1 1 1 1 0 0 1 0 0]","21.06.2023, 16:08:38",0
7,61,"[1 1 0 1 1 1 0 1 0 0 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 1 1 0 1 1
 0 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 0
 1 0 1 1 0 1 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0
 0 1 0 0 0 0 0 0 1 1]","21.06.2023, 16:08:38",0
8,57,"[0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0
 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0
 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1
 1 0 0 1 0 0 0 1 1 1]","21.06.2023, 16:08:38",0
9,57,"[1 0 0 0 1 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 1
 0 0 1 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1
 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1
 1 0 0 1 0 0 1 0 0 1]","21.06.2023, 16:08:38",0
10,57,"[1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 0
 0 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 1 1
 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1
 1 1 1 1 0 1 0 0 1 0]","21.06.2023, 16:08:38",0
11,58,"[1 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1
 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0
 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1
 1 1 0 0 0 0 0 0 1 0]","21.06.2023, 16:08:38",0
12,59,"[1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1
 1 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1
 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1 1 0
 1 1 0 0 0 1 0 0 1 0]","21.06.2023, 16:08:38",0
13,67,"[1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0
 1 0 0 0 1 0 1 0 0 0 1 0 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 1 0
 1 1 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 0
 0 1 0 0 1 1 0 1 1 0]","21.06.2023, 16:08:38",0
14,62,"[1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1
 0 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1
 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 1 0
 0 0 0 0 0 0 1 1 0 0]","21.06.2023, 16:08:38",0
15,55,"[0 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 1 1 0 0 1
 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0
 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 1 1 0 1 1
 0 0 0 1 0 0 1 0 1 0]","21.06.2023, 16:08:38",0
16,52,"[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0
 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1
 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0
 1 0 1 0 0 1 0 0 0 0]","21.06.2023, 16:08:38",0
